名称,网址
唐山师范学院,http://college.gaokao.com/school/166/
廊坊师范学院,http://college.gaokao.com/school/167/
邢台学院,http://college.gaokao.com/school/168/
石家庄铁道学,http://college.gaokao.com/school/169/
山西大学,http://college.gaokao.com/school/170/
山西农业大学,http://college.gaokao.com/school/171/
山西医科大学,http://college.gaokao.com/school/172/
长治医学院,http://college.gaokao.com/school/173/
山西师范大学,http://college.gaokao.com/school/174/
太原师范学院,http://college.gaokao.com/school/175/
西北大学,http://college.gaokao.com/school/101/
西安电子科技,http://college.gaokao.com/school/102/
陕西师范大学,http://college.gaokao.com/school/103/
青海大学,http://college.gaokao.com/school/104/
宁夏大学,http://college.gaokao.com/school/105/
新疆大学,http://college.gaokao.com/school/106/
石河子大学,http://college.gaokao.com/school/107/
中国矿业大学,http://college.gaokao.com/school/108/
中国地质大学,http://college.gaokao.com/school/109/
南昌大学,http://college.gaokao.com/school/110/
上海大学,http://college.gaokao.com/school/111/
天津医科大学,http://college.gaokao.com/school/112/
长安大学,http://college.gaokao.com/school/113/
中南财经政法,http://college.gaokao.com/school/114/
武汉理工大学,http://college.gaokao.com/school/115/
东北农业大学,http://college.gaokao.com/school/116/
中国人民解放,http://college.gaokao.com/school/117/
中国人民解放,http://college.gaokao.com/school/118/
第四军医大学,http://college.gaokao.com/school/119/
上海交通大学,http://college.gaokao.com/school/120/
中国传媒大学,http://college.gaokao.com/school/121/
中国地质大学,http://college.gaokao.com/school/122/
中国石油大学,http://college.gaokao.com/school/123/
中国石油大学,http://college.gaokao.com/school/124/
北方工业大学,http://college.gaokao.com/school/125/
北京服装学院,http://college.gaokao.com/school/126/
北京印刷学院,http://college.gaokao.com/school/127/
北京建筑大学,http://college.gaokao.com/school/128/
北京石油化工,http://college.gaokao.com/school/129/
北京电子科技,http://college.gaokao.com/school/130/
北京农学院,http://college.gaokao.com/school/131/
首都医科大学,http://college.gaokao.com/school/132/
首都师范大学,http://college.gaokao.com/school/133/
首都体育学院,http://college.gaokao.com/school/134/
北京第二外国,http://college.gaokao.com/school/135/
北京语言大学,http://college.gaokao.com/school/136/
北京物资学院,http://college.gaokao.com/school/137/
外交学院,http://college.gaokao.com/school/138/
中国人民公安,http://college.gaokao.com/school/139/
国际关系学院,http://college.gaokao.com/school/140/
中国音乐学院,http://college.gaokao.com/school/141/
中央美术学院,http://college.gaokao.com/school/142/
中央戏剧学院,http://college.gaokao.com/school/143/
中国戏曲学院,http://college.gaokao.com/school/144/
北京电影学院,http://college.gaokao.com/school/145/
北京舞蹈学院,http://college.gaokao.com/school/146/
天津科技大学,http://college.gaokao.com/school/147/
天津工业大学,http://college.gaokao.com/school/148/
中国民航大学,http://college.gaokao.com/school/149/
天津理工大学,http://college.gaokao.com/school/150/
天津农学院,http://college.gaokao.com/school/151/
天津中医药大,http://college.gaokao.com/school/152/
天津师范大学,http://college.gaokao.com/school/153/
天津外国语学,http://college.gaokao.com/school/154/
天津商业大学,http://college.gaokao.com/school/155/
天津体育学院,http://college.gaokao.com/school/156/
天津音乐学院,http://college.gaokao.com/school/157/
天津美术学院,http://college.gaokao.com/school/158/
河北大学,http://college.gaokao.com/school/159/
石家庄经济学,http://college.gaokao.com/school/160/
河北科技大学,http://college.gaokao.com/school/161/
河北建筑工程,http://college.gaokao.com/school/162/
华北煤炭医学,http://college.gaokao.com/school/163/
承德医学院,http://college.gaokao.com/school/164/
河北师范大学,http://college.gaokao.com/school/165/
唐山师范学院,http://college.gaokao.com/school/166/
廊坊师范学院,http://college.gaokao.com/school/167/
邢台学院,http://college.gaokao.com/school/168/
石家庄铁道学,http://college.gaokao.com/school/169/
山西大学,http://college.gaokao.com/school/170/
山西农业大学,http://college.gaokao.com/school/171/
山西医科大学,http://college.gaokao.com/school/172/
长治医学院,http://college.gaokao.com/school/173/
山西师范大学,http://college.gaokao.com/school/174/
太原师范学院,http://college.gaokao.com/school/175/
晋中学院,http://college.gaokao.com/school/176/
运城学院,http://college.gaokao.com/school/177/
忻州师范学院,http://college.gaokao.com/school/178/
